Shampoo Name,Hair Type,Avg Sentiment Score,Number of Reviews,Description,Price,Product URL,Product Image,Last Updated,Tags,Category
LOreal Proffessionnel Absolut Repair Molecular Shampoo and Conditioner Duo,straight,0.83996571,,,,,,,,
AUGEAS 180ML STRAIGHTEN HAIR CREAM EASY TO USE GENTLE AND AITI-DAMAGE SHINY AND SMOOTH,straight,0.814228613,100.0,,,https://shopee.ph/product/298308947/20879420082?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVlBXTnFLbGtLY21IOVhMT0xMVGhrdDVhRFBoK1JaQ0FTUndBeUlYb085Q2pMTStWbmhRbFlkNHFYYXcrQjcxNVh2eGRvN3Vhd2x5bFpCSHhBTXE4VXY1UElSTWROdGVVTjhMY015WUpMUXg&utm_source=chatgpt.com,https://down-bs-us.img.susercontent.com/ph-11134207-7qul8-lgcaurespmr419.jpg,16/11/2025 13:53,,
PALMOLIVE Silky Straight With Keratin Shampoo 600ml,straight,0.8697774050136408,24.0,,,https://shopee.ph/product/92328166/12990044966?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkU1psNndicnpENjFrR2ZiZlcxU0ZES2FtVXpNQXZ6V3JCVEVUckVsWUJVdWVhTzBpbCtGR1BxTzRWRTVkUDNiamVibCsvYi95Rkg4MnVleXBRMi9BNEpGTmU5eFloY2R6dnlJL3BjTnlPaWc&utm_source=chatgpt.com,https://down-bs-us.img.susercontent.com/ph-11134207-7qukz-lhpwlvn802jr91.jpg,16/11/2025 13:56,,
HAIRFIX Keratin Straight Hair Spray 200ml,straight,0.90677132,,,,,,,,
Sunsilk Expert Perfect Straight Shampoo 180ml,straight,0.884298068,,,,,,,,
Curlico. Curl Defining Crème Gel,curly,0.8360127841384666,103.0,,,https://shopee.ph/Curlico.-Curl-Defining-Cr%C3%A8me-Gel-i.194314873.21181476122?extraParams=%7B%22display_model_id%22%3A196856541570%2C%22model_selection_logic%22%3A3%7D&sp_atk=964d6606-5f0a-487e-ba02-95072972a973&xptdk=964d6606-5f0a-487e-ba02-95072972a973,https://down-bs-us.img.susercontent.com/ph-11134207-7rasi-matgn20mpqjyc8.jpg,16/11/2025 22:19,,
[NARD] Hair Gift Set Signature (Shampoo+treatment),straight,0.875381705,,,,,,,,
[KUNDAL] Honey & Macadamia Nature Perfume Shampoo / Protein Treatment 500ml,straight,0.88969776,,,,,,,,
EELHOE Hair Curling Mousse 100ml Shaping Cream Moisturizing Defining Repair frizz Elastin Cream,curly,0.804731014,,,,,,,,
"Curls by Zenutrients Avocado & Tea Tree Sulfate-Free Shampoo 500ml (Curl Define, Organic & CGM)",curly,0.881399363,,,,,,,,
"Palmolive Naturals Ultra Smooth Shampoo 1L Pump, Pack of 3",straight,0.8219618907570839,100.0,,,https://shopee.ph/Palmolive-Naturals-Ultra-Smooth-Shampoo-with-Aloe-Vera-for-Normal-Hair-1L-Pump-Value-Pack-of-3-i.1029353901.24109360449?extraParams=%7B%22display_model_id%22%3A59391268618%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca6d8966-21e2-458b-8178-bff2183858ed&xptdk=ca6d8966-21e2-458b-8178-bff2183858ed,https://down-bs-us.img.susercontent.com/ph-11134207-7r98u-lqol0ovi62j352.jpg,16/11/2025 13:46,,
LOreal Professionnel Serie Expert Absolut Repair Gold Hair Mask (Dry and Damaged Hair) 250ml,straight,0.8834895764787992,60.0,,"₱1,670",https://shopee.ph/L'Oreal-Professionnel-Serie-Expert-Absolut-Repair-Hair-Mask-Treatment-for-Dry-and-Damaged-Hair-250ml-i.181043577.4103999579,https://down-bs-us.img.susercontent.com/ph-11134201-23020-uydfi0x5bznv53.jpg,15/11/2025 0:58,,
Not Your Mother's Curl Talk Defining Hair Cream,straight,0.6474318021819705,42.0,,,https://shopee.ph/Not-Your-Mother's-Curl-Talk-Conditioner-Curling-Hair-Cream-Treatment-i.154777432.5297795734,https://down-bs-us.img.susercontent.com/ph-11134207-7r98q-lon0hj5ukdd066.jpg,16/11/2025 14:20,,
"Curls by Zenutrients Leave-In Conditioner with Avocado & Tea Tree (Protein-Free, Curl Define & CGM)",curly,0.888588641,140.0,,,https://shopee.ph/Curls-by-Zenutrients-Leave-In-Conditioner-with-Avocado-Tea-Tree-(Protein-Free-Curl-Define-CGM)-i.211364681.3358703747?extraParams=%7B%22display_model_id%22%3A61486369160%2C%22model_selection_logic%22%3A3%7D&sp_atk=c2a0931b-428c-4492-a10b-1c1d73d90aee&xptdk=c2a0931b-428c-4492-a10b-1c1d73d90aee,https://down-bs-us.img.susercontent.com/ph-11134207-7rasi-m79l6yg25ho912.jpg,16/11/2025 14:28,,
Curlico. Curl Defining Crème Gel,straight,0.8724993333220482,20.0,,,https://shopee.ph/Curlico.-Curl-Defining-Cr%C3%A8me-Gel-i.194314873.21181476122?extraParams=%7B%22display_model_id%22%3A196856541570%2C%22model_selection_logic%22%3A3%7D&sp_atk=964d6606-5f0a-487e-ba02-95072972a973&xptdk=964d6606-5f0a-487e-ba02-95072972a973,https://down-bs-us.img.susercontent.com/ph-11134207-7rasi-matgn20mpqjyc8.jpg,16/11/2025 22:19,,
Pantene Pro-V Shampoo Hair Fall Control Hair Care 1200ml,straight,0.8311686083841859,178.0,"A hair fall treatment shampoo like no other. Pantene Hair Fall Control Shampoo strengthens your hair from root to tip. This shampoo is formulated with Pantene's nourishing blend of Pro-Vitamins, to protect hair from damage that results in breakage.",₱773,https://shopee.ph/Pantene-Pro-V-Shampoo-Hair-Fall-Control-Hair-Care-1200ml-i.73395170.22401848319?extraParams=%7B%22display_model_id%22%3A126982597832%2C%22model_selection_logic%22%3A3%7D&sp_atk=2f3a4bc7-67f7-463d-893f-2860e3b5f521&xptdk=2f3a4bc7-67f7-463d-893f-2860e3b5f521,https://down-bs-us.img.susercontent.com/ph-11134207-7rasf-m0v984r6569w37.jpg,18/11/2025 18:01,anti-frizz; smoothing; moisturizing,Shampoo
Sunsilk Smooth & Manageable Shampoo 350ml,straight,0.8428177955759121,239.0,"Conquer the day with smooth and fragrant hair with our 5 flower perfumes that give you the hair fragrance you love. Sunsilk can give you soft, manageable hair you’ll enjoy all day with its fragrant hair products. Bouncy hair that remains perfectly straight all day long",₱215,https://shopee.ph/Sunsilk-Smooth-Manageable-Shampoo-350ml-i.40867978.1208071023?extraParams=%7B%22display_model_id%22%3A62042006892%2C%22model_selection_logic%22%3A3%7D&sp_atk=57501f8f-43a4-437a-8ca8-97529a95fe49&xptdk=57501f8f-43a4-437a-8ca8-97529a95fe49,https://down-bs-us.img.susercontent.com/ph-11134207-7r98u-lsmgbzavfoxh43.jpg,18/11/2025 18:47,anti-frizz; softening; smoothing,Shampoo
Dove Shampoo Straight & Silky 1.4L,straight,0.8530329525040375,277.0,"Introducing NEW Dove with Bio Protein Care Powered by On-Trend and potent skincare ingredients for innovative, technology based damage repair technology. Experience the power of skincare for your hair.",₱772,https://shopee.ph/Dove-Bio-Keratin-Straight-Silky-Shampoo-1.4L-for-Straight-Smooth-Hair-against-Frizz-i.40867978.21628072507?extraParams=%7B%22display_model_id%22%3A48968238087%2C%22model_selection_logic%22%3A3%7D&sp_atk=92fdfccb-5930-4ab1-b0f0-d8b6d8acb902&xptdk=92fdfccb-5930-4ab1-b0f0-d8b6d8acb902,https://down-bs-us.img.susercontent.com/ph-11134207-7qul0-lkhubk46dkukc0.jpg,18/11/2025 20:30,anti-frizz; smoothing; straightening,Shampoo
Cream Silk Ultimate Reborn Hair Conditioner Standout Straight with Tri-Oleo 1.4L,straight,0.8646031995454142,248.0,"Cream Silk Ultimate Reborn Hair Conditioner Standout Straight with Tri-Oleo 1.4L

NEW Cream Silk® with Advanced Hair Reborn* Technology and Frizz Defense Complex, customized with nutrients that penetrate and nourish every hair strand to transform frizzy hair to beyond beautiful.",₱900,https://shopee.ph/Cream-Silk-Vitamin-Boost-Standout-Straight-Conditioner-1.4L-i.40867978.19628120760?extraParams=%7B%22display_model_id%22%3A191456800293%2C%22model_selection_logic%22%3A3%7D&sp_atk=3a300ee3-0fcd-4ad6-bc0d-5f6dc961fd48&xptdk=3a300ee3-0fcd-4ad6-bc0d-5f6dc961fd48,https://down-bs-us.img.susercontent.com/ph-11134207-7qul3-lkhusgwjc0u64a.jpg,18/11/2025 21:43,straightening; taming; anti-frizz,Conditioner
PANTENE Conditioner 3 Minute Miracle Collagen Repair 150mL,straight,0.8600153694718571,295.0,"Love styling but afraid of what damage it does to your hair? Fear not! Pantene 3 Minute Miracle Collagen Repair Conditioner is here to save the day, every day. It's ideal for dry, brittle, and damaged hair. It repairs 3 months of damage - in just 3 minutes! The Pro-V formula, blended with real collagen, penetrates into your hair's core, deeply hydrating your hair from within—repairing damage from root to tip",₱269,https://shopee.ph/PANTENE-Conditioner-3-Minute-Miracle-Collagen-Repair-150mL-i.92328166.18161206564?extraParams=%7B%22display_model_id%22%3A98441266593%2C%22model_selection_logic%22%3A3%7D&sp_atk=a5ba83fb-189e-48ac-be71-0b5ece3f139c&xptdk=a5ba83fb-189e-48ac-be71-0b5ece3f139c,https://down-bs-us.img.susercontent.com/ph-11134211-7qul2-lfox3hfh2nsk82.jpg,19/11/2025 22:41,anti-frizz; repair,Conditioner
Dove 1 Minute Amino Restore Conditioner 150ml,straight,0.8516859131700852,238.0,"Dove Bio Keratin Straight and Silky is enriched with Bio-Keratin Anti-Frizz Serum, it smoothens hair and protects against humidity for 72 hours straight & frizz-free smoothness.",₱220,https://shopee.ph/Dove-Bio-Keratin-Straight-Silky-1-Minute-Conditioner-170mL-for-Straight-Smooth-Hair-i.40867978.7652708989?extraParams=%7B%22display_model_id%22%3A71026352917%2C%22model_selection_logic%22%3A3%7D&sp_atk=c8626306-ceb9-4e26-ba87-df1923367688&xptdk=c8626306-ceb9-4e26-ba87-df1923367688,https://down-bs-us.img.susercontent.com/ph-11134207-7qul9-lkhtztry6or055.jpg,19/11/2025 23:13,anti-frizz; smoothing,Conditioner
BUY 2 GET 1 Vitress Hair Polish Long Lasting Fragrance 100ml + FREE 50ml,straight,0.8545693997293711,272.0,"Vitress Hair Polish Long lasting Fragrance has scent-infinity complex that keeps hair smelling fresh throughout the day for fragrant, shiny hair.",₱166,https://shopee.ph/BUY-2-GET-1-Vitress-Hair-Polish-Long-Lasting-Fragrance-100ml-FREE-50ml-i.264547661.22153448955?extraParams=%7B%22display_model_id%22%3A147000885214%2C%22model_selection_logic%22%3A3%7D&sp_atk=556024c5-93cc-4458-8dbf-4567e4c9f25b&xptdk=556024c5-93cc-4458-8dbf-4567e4c9f25b,https://down-bs-us.img.susercontent.com/ph-11134207-7r991-lmn6bqg01xpta7.jpg,2025-11-19 23:43:44,shine; anti-frizz; leave-in; smoothing,Styling Product
LUXE ORGANIX Curl Define Intensive Hydration Daily Shampoo 220ml,curly,0.8631485732717546,297.0,"Say goodbye to frizzy and tangled curls! The Luxe Organix Premium Curl and Define Shampoo gently cleanses the hair while effective locking in moisture to prevent dryness. It is formulated with a blend of Jojoba, Avocado, and Moroccan Oil to keep curls strong, healthy, and bouncy embrace and revive your natural curls with this CGM approved shampoo that is perfect for everyday use.",₱199,https://shopee.ph/LUXE-ORGANIX-Curl-Define-Intensive-Hydration-Daily-Shampoo-270ml-i.92328166.21676504896?extraParams=%7B%22display_model_id%22%3A194076010777%2C%22model_selection_logic%22%3A3%7D&sp_atk=c9206ca0-4300-4215-8657-53fed780d124&xptdk=c9206ca0-4300-4215-8657-53fed780d124,https://down-bs-us.img.susercontent.com/ph-11134207-7r991-lstcj9g0u43o6b.jpg,2025-11-22 13:35:53,curl-defining; hydrating; sulfate-free,Shampoo
